,Roll no.,1st,2nd,3rd,4th,Avg
126,17042,6.37,5.9,5.81,6.04,6.029999999999999
127,17042,6.19,6.62,6.3,6.54,6.4125
128,17042,6.74,6.72,7.04,7.93,7.1075
129,17042,5.52,5.72,6.07,7.11,6.1049999999999995
130,17042,6.3,6.48,5.63,6.21,6.155
131,17042,6.89,6.69,5.67,6.07,6.33
132,17042,7.0,7.41,6.37,6.57,6.8375
133,17042,6.07,6.07,5.89,6.54,6.1425
134,17042,7.11,7.34,6.85,7.96,7.3149999999999995
135,17042,9.15,9.21,9.59,9.31,9.315
136,17042,7.78,6.86,7.26,7.82,7.43
137,17042,7.59,7.76,7.0,8.32,7.6675
138,17042,7.11,7.41,7.0,7.32,7.21
139,17042,6.26,6.0,6.07,5.36,5.922499999999999
140,17042,8.3,7.97,8.33,8.29,8.2225
141,17042,6.96,5.72,6.33,7.18,6.547499999999999
142,17042,6.96,6.24,6.85,7.21,6.8149999999999995
143,17042,8.22,8.76,7.74,8.46,8.295
144,17042,7.15,6.79,6.75,6.78,6.867500000000001
145,17042,7.07,7.66,7.22,7.86,7.4525
146,17042,7.52,7.82,7.67,8.21,7.805
147,17042,6.33,6.76,5.7,5.18,5.9925
148,17042,7.33,6.62,6.26,6.33,6.635
149,17042,7.89,7.97,7.59,8.25,7.925
150,17042,6.44,6.43,6.52,7.04,6.6075
151,17042,6.96,6.41,6.33,5.57,6.317500000000001
152,17042,7.0,6.34,6.07,6.14,6.3875
153,17042,6.26,5.55,6.15,5.04,5.75
154,17042,7.22,6.76,7.48,7.93,7.3475
155,17042,6.41,6.48,6.41,6.68,6.495
156,17042,5.96,6.1,6.07,5.36,5.8725
157,17042,7.19,7.97,7.3,8.04,7.625
158,17042,7.14,7.79,6.93,7.64,7.375
159,17042,7.19,7.1,6.7,7.36,7.0874999999999995
160,17042,6.85,6.41,6.19,6.68,6.5325
161,17042,8.0,8.07,7.96,8.46,8.1225
162,17042,7.59,7.48,7.41,7.18,7.415
163,17042,6.7,7.34,7.11,7.32,7.1175
164,17042,7.59,7.31,7.11,7.68,7.422499999999999
165,17042,7.07,6.38,5.3,5.43,6.045
166,17042,6.44,6.48,6.78,6.29,6.4975000000000005
167,17042,7.19,7.0,6.74,7.04,6.9925
168,17042,6.81,6.38,5.19,5.46,5.96
169,17042,6.63,7.03,7.0,6.75,6.8525
170,17042,7.33,7.34,7.22,7.25,7.285
172,17042,7.0,7.41,7.15,7.04,7.15
173,17042,7.48,7.55,7.67,7.39,7.522500000000001
174,17042,7.3,6.41,6.59,7.11,6.8525
175,17042,6.3,6.28,5.89,5.71,6.045
176,17042,7.04,7.1,6.81,7.0,6.9875
177,17042,6.7,6.81,6.52,5.39,6.355
